cell_id,group
aehepjkl-1,tumor
aehfphmf-1,tumor
aehhioco-1,tumor
aehjchcc-1,tumor
aehjhhmb-1,tumor
aehmlcfa-1,tumor
aehpoedn-1,tumor
aeifmcgo-1,tumor
aeijkbfd-1,tumor
aeikflbh-1,tumor
aeikhpgm-1,tumor
aeikidkd-1,tumor
aeingnmm-1,tumor
aejdallb-1,tumor
aejdcika-1,tumor
aejelgch-1,tumor
aejleaem-1,normal
aejmaabj-1,tumor
aejpgfll-1,tumor
aekfepbp-1,tumor
aekgbcja-1,tumor
aeknilop-1,tumor
aekopfel-1,tumor
aelafmgd-1,tumor
aelafomm-1,tumor
aelbdmio-1,tumor
aelehjon-1,tumor
aelgehkm-1,tumor
aelkefcn-1,tumor
aellnpho-1,tumor
aelnmdbk-1,tumor
aelojkge-1,tumor
aemgaiaf-1,tumor
aemhcjoa-1,tumor
aemhpdod-1,tumor
aemifkec-1,tumor
aemoleao-1,tumor
aemopiea-1,tumor
aencdlkh-1,tumor
aeneolel-1,tumor
aenibedi-1,tumor
aenijmjo-1,tumor
aenjcdkn-1,tumor
aenkjlpd-1,tumor
aenndjbl-1,tumor
aeokhjkp-1,tumor
aeonmhpb-1,tumor
aeonnbpi-1,tumor
aeopfnec-1,tumor
aepfdiga-1,tumor
aepfnbmf-1,tumor
aepimllj-1,tumor
aepnemjl-1,tumor
aepoiodo-1,tumor
afabpeli-1,tumor
afacphli-1,tumor
afagdkkl-1,tumor
afagfcfc-1,tumor
afagmgea-1,tumor
afaibjag-1,tumor
afaiemgn-1,tumor
afajfddl-1,tumor
afakkgnb-1,tumor
afbaihpe-1,normal
afbcbece-1,tumor
afbebfao-1,tumor
afbeoijb-1,normal
afbfijbg-1,tumor
afbfkgjd-1,tumor
afbfoooi-1,tumor
afblfpgo-1,tumor
afbmfhmb-1,normal
afbmpced-1,normal
afccbamd-1,tumor
afcflmgh-1,tumor
afcigafn-1,normal
afcikope-1,tumor
afcjajnc-1,tumor
afcmiafd-1,normal
afcofdbd-1,tumor
afcogkah-1,tumor
afdahhcc-1,tumor
afdbfbnm-1,tumor
afdbobao-1,tumor
afdelhno-1,tumor
afdhikok-1,tumor
afdhlfan-1,tumor
afdhlhjg-1,tumor
afdigkbk-1,tumor
afdkcefl-1,normal
afdnddhp-1,tumor
afegeglk-1,tumor
afelbani-1,tumor
afemkicc-1,tumor
affcanee-1,tumor
affdgeej-1,tumor
affgeomd-1,tumor
affgglme-1,tumor
affijdbh-1,tumor
affipbnc-1,tumor
affjdoan-1,tumor
affkmdcg-1,tumor
afgcnego-1,tumor
afghdnca-1,tumor
afgkoabe-1,tumor
afhbfljk-1,tumor
afhckfej-1,tumor
afhhkkgc-1,tumor
afhifoeh-1,tumor
afhjijme-1,tumor
afhmpajc-1,tumor
afhoojpg-1,tumor
afhpnhpf-1,tumor
afibhaik-1,normal
aficgbne-1,tumor
afifaidf-1,tumor
afigngmi-1,tumor
afihogif-1,tumor
afijgngi-1,tumor
afikjlgm-1,tumor
afingiph-1,tumor
afinndid-1,tumor
afiopfaa-1,tumor
afjbfhbo-1,tumor
afjcbgkf-1,tumor
afjicomh-1,tumor
afjnakgo-1,tumor
afjnnlcj-1,tumor
afjoggol-1,tumor
afjplffc-1,tumor
afkbijcp-1,tumor
afkcmedd-1,tumor
afkhcpeg-1,tumor
afkikjcc-1,tumor
afknhoff-1,tumor
aflacnem-1,tumor
aflbahda-1,tumor
aflblhpb-1,tumor
aflbolhj-1,tumor
aflcpdhc-1,tumor
aflhfoin-1,normal
aflhopjg-1,tumor
afljaolb-1,tumor
afllonii-1,tumor
aflmmkdm-1,tumor
afmffdfd-1,tumor
afmhnffl-1,tumor
afmpobmg-1,tumor
afncoobp-1,tumor
afnebfid-1,tumor
afnhekhe-1,tumor
afnhoomf-1,tumor
afniimpn-1,tumor
afnjmaok-1,tumor
afobkegf-1,tumor
afohcjpj-1,tumor
afokhapo-1,normal
afoogofa-1,tumor
afpclone-1,normal
afpfbiff-1,tumor
afpfgddp-1,tumor
afplbchg-1,tumor
afpobolb-1,tumor
afpoeogb-1,tumor
afppigpg-1,tumor
agafpofo-1,tumor
agajkpda-1,tumor
aganbaph-1,tumor
aganhdni-1,tumor
agbbidhn-1,tumor
agbnnkhb-1,tumor
agbopokp-1,tumor
agcbbfgb-1,tumor
agcdlfdk-1,tumor
agceamof-1,tumor
agcfjnok-1,tumor
agcgkkbn-1,tumor
agcjfijp-1,tumor
agcpmiam-1,tumor
agddcgba-1,tumor
agdehepk-1,tumor
agdkknen-1,tumor
agdpgjmi-1,tumor
agedgjpm-1,tumor
agefhpne-1,tumor
agegkhaa-1,tumor
agegpdjp-1,tumor
ageoiebl-1,tumor
agfbjold-1,tumor
agfcffgh-1,tumor
agfcioje-1,tumor
agfgaaap-1,tumor
agfknefi-1,tumor
agflocdo-1,tumor
agflpkop-1,tumor
agfnoimj-1,tumor
agfnongj-1,tumor
agfpefpd-1,tumor
aggbifbb-1,tumor
aggdbgjk-1,tumor
agglhmhf-1,tumor
aggmbijd-1,tumor
aggngldi-1,tumor
aghdimel-1,tumor
agheamkk-1,tumor
aghijmkp-1,tumor
aghmpehg-1,tumor
aghobpki-1,tumor
aghpgchh-1,tumor
agickfec-1,tumor
agieajog-1,tumor
agifaopd-1,normal
agikkihj-1,tumor
agimjfaj-1,tumor
agiofhfm-1,tumor
agjclmhl-1,tumor
agjifndi-1,tumor
agjkncmb-1,tumor
agjldiil-1,tumor
agjmcheg-1,tumor
agjplegl-1,tumor
agkabhoj-1,tumor
agkbknha-1,tumor
agkdnkcp-1,tumor
agkhlcbb-1,tumor
agkiihcm-1,tumor
agkjpmab-1,tumor
agkmhffl-1,tumor
aglcimeb-1,tumor
aglpeaic-1,tumor
aglplbeh-1,tumor
agmbdpci-1,tumor
agmdigig-1,tumor
agmekkmk-1,tumor
agmjgdlk-1,tumor
agmjjned-1,tumor
agnaahme-1,tumor
agnaigfh-1,tumor
agneipmi-1,tumor
agngfpom-1,tumor
agnodbcc-1,tumor
agoafikf-1,tumor
agobnbcg-1,tumor
agoegcdg-1,tumor
agogcmon-1,tumor
agogobem-1,tumor
agoigdkd-1,tumor
agoikhbn-1,tumor
agpbdlod-1,tumor
agpbphbk-1,tumor
agplllpe-1,tumor
agpnhdkd-1,tumor
agpnmjik-1,tumor
agppeeig-1,tumor
ahacmfaf-1,tumor
ahacpcnf-1,normal
ahaekaen-1,tumor
ahallcjl-1,tumor
ahapmddb-1,tumor
ahbeefah-1,tumor
ahbghpll-1,tumor
ahbpofmk-1,tumor
ahcaddla-1,tumor
ahcigbkb-1,tumor
ahckplno-1,tumor
ahcmdnhf-1,tumor
ahcnjjoc-1,tumor
ahcocafe-1,tumor
ahddkejd-1,tumor
ahddppip-1,tumor
ahdeeacg-1,tumor
ahdfclkc-1,tumor
ahdniame-1,tumor
aheeahcg-1,tumor
aheeecfc-1,tumor
ahefapgg-1,tumor
aheghecg-1,tumor
aheinigk-1,tumor
ahejcjjm-1,tumor
ahellhne-1,tumor
ahenaefn-1,tumor
ahenppgk-1,tumor
aheoacnb-1,normal
aheoecpj-1,normal
ahfeilcc-1,tumor
ahfliila-1,tumor
ahfobijc-1,tumor
ahgbppfh-1,tumor
ahgenjba-1,tumor
ahgjiggf-1,tumor
ahgkddde-1,tumor
ahglgepg-1,tumor
ahgmllik-1,tumor
ahgnhkoc-1,tumor
ahgomgia-1,tumor
ahhddjio-1,tumor
ahhhkonm-1,tumor
ahhjbggf-1,tumor
ahhmkocl-1,tumor
ahhnohjd-1,tumor
ahicljlh-1,tumor
ahiekkgd-1,tumor
ahihcbll-1,tumor
ahimejjd-1,tumor
ahimlnmm-1,tumor
ahincipf-1,tumor
ahjacjid-1,tumor
ahjepmjk-1,tumor
ahjfgnld-1,tumor
ahjimkmj-1,tumor
ahkaagca-1,normal
ahkaonjb-1,tumor
ahkbpblg-1,tumor
ahkfgemm-1,tumor
ahkjjgmj-1,tumor
ahklhcca-1,tumor
ahknlplb-1,tumor
ahkobjng-1,tumor
ahkomioe-1,tumor
ahlalikm-1,tumor
ahlhcpgj-1,normal
ahlmojph-1,normal
ahlnhagf-1,tumor
ahmajjlg-1,tumor
ahmapbmj-1,tumor
ahmgpmek-1,tumor
ahmmlbnk-1,tumor
ahmnfefk-1,normal
ahmpgfhm-1,normal
ahmpplmi-1,normal
ahnafgif-1,tumor
ahnjcpoh-1,tumor
ahnlblpp-1,tumor
ahnneoml-1,normal
ahnoinhl-1,tumor
ahoaamho-1,tumor
ahogaaid-1,tumor
ahohaoek-1,tumor
ahokblkj-1,tumor
aholcfio-1,tumor
aholcnhm-1,tumor
ahomioep-1,normal
ahompgfp-1,normal
ahonffel-1,tumor
ahpdnlli-1,tumor
ahphipmg-1,tumor
ahpjjkld-1,tumor
ahpkihdd-1,tumor
ahplfhhj-1,tumor
ahppkkgl-1,normal
aiacmjpk-1,tumor
aiacncbh-1,tumor
aiadaebj-1,tumor
aiadgpmh-1,tumor
aiafifoa-1,tumor
aibjhjpb-1,tumor
aibkagbi-1,tumor
aibkgbai-1,normal
aibkhfoo-1,normal
aiblfini-1,tumor
aibmfide-1,tumor
aibnbbba-1,tumor
aibnjbkg-1,tumor
aibpkcjc-1,normal
aicagohc-1,tumor
aicbhhfc-1,tumor
aicfjjcg-1,tumor
aichbjoi-1,tumor
aicmaohg-1,tumor
aicnjdni-1,tumor
aicoppmi-1,tumor
aicpllia-1,tumor
aidaabnj-1,tumor
aidafhel-1,tumor
aidbkkdj-1,tumor
aidbolca-1,tumor
aidcibih-1,tumor
aidgmgnl-1,tumor
aidiggbb-1,tumor
aidinjpo-1,tumor
aidjhgla-1,tumor
aidnfmoi-1,tumor
aiebelgi-1,tumor
aiedmpol-1,tumor
aiedokcb-1,tumor
aiegibik-1,tumor
aiegkoda-1,tumor
aiejeggf-1,tumor
aieonbkn-1,tumor
aifcnobo-1,tumor
aifekncd-1,tumor
aificpeh-1,tumor
aifiidfo-1,tumor
aifjbhli-1,normal
aifjgaoe-1,tumor
aifjlgke-1,tumor
aifklbco-1,tumor
aiflgnol-1,tumor
aifmfdph-1,normal
aifnaogg-1,tumor
aifobkhh-1,tumor
aigbpelf-1,tumor
aigcdccb-1,tumor
aigcdfmp-1,tumor
aigepdpp-1,tumor
aiggffhd-1,tumor
aighcahk-1,tumor
aiglocbj-1,tumor
aigmbpah-1,tumor
aiheapmf-1,tumor
aihgbjfc-1,tumor
aihgecpa-1,tumor
aihonbhi-1,tumor
aiicmhmp-1,tumor
aiidglmn-1,tumor
aiiklbee-1,tumor
aiiophhk-1,tumor
aijbhapc-1,tumor
aijbjcji-1,tumor
aijkhngp-1,tumor
aijlcheo-1,tumor
aijnonll-1,tumor
aijpdkge-1,tumor
aijpidpi-1,tumor
aikfmipk-1,tumor
aikifhlj-1,tumor
aikkpjjn-1,tumor
aikmcefi-1,tumor
aiknjdha-1,tumor
aikohplb-1,tumor
aikpegfa-1,tumor
ailcfnll-1,tumor
ailfhkik-1,tumor
ailgdgki-1,tumor
ailkehml-1,tumor
ailkfpem-1,tumor
ailmhmfm-1,tumor
ailmlkbf-1,tumor
ailnnbke-1,tumor
ailojaml-1,tumor
aimafmhg-1,tumor
aimcdbki-1,tumor
aimdnchg-1,tumor
aimdnoeh-1,tumor
aimggabc-1,tumor
aimhkkpe-1,tumor
aimkidmp-1,tumor
aimlcede-1,tumor
aimldgpd-1,tumor
aimmfldg-1,tumor
aimnbhpi-1,tumor
aimnokac-1,tumor
aimoekhc-1,tumor
aimpkkoe-1,tumor
ainboadb-1,tumor
ainienli-1,tumor
ainpjgjj-1,tumor
aioalcli-1,tumor
aiobhdpb-1,tumor
aiobjbio-1,tumor
aiodmejk-1,tumor
aioikjid-1,tumor
aiojaefg-1,tumor
aiomdiah-1,tumor
aionfkjd-1,tumor
aionibhb-1,tumor
aionijoj-1,tumor
aionoffe-1,tumor
aiopjcdh-1,tumor
aipakdef-1,tumor
aipallmp-1,tumor
aipfgdde-1,tumor
aiphmbaf-1,tumor
aipjcifi-1,tumor
aiplgmkm-1,tumor
aiplpilh-1,tumor
aipmpmlj-1,tumor
aippeolh-1,tumor
ajadbain-1,tumor
ajadjmjf-1,tumor
ajagmckd-1,tumor
ajaniban-1,tumor
ajapboge-1,tumor
ajbdglfn-1,tumor
ajbikchp-1,tumor
ajbjgibc-1,tumor
ajblbolg-1,tumor
ajblejdg-1,tumor
ajbnfkgc-1,tumor
ajbolokf-1,tumor
ajcfkcpp-1,tumor
ajcfknja-1,tumor
ajchialp-1,tumor
ajchldpl-1,tumor
ajcjehlo-1,tumor
ajcjpkel-1,tumor
ajckngeo-1,tumor
ajcocgbh-1,tumor
ajcodafo-1,tumor
ajdbjkga-1,tumor
ajdcbekh-1,tumor
ajddgjfb-1,tumor
ajdelafn-1,tumor
ajegcakg-1,tumor
ajegiekd-1,tumor
ajejcanp-1,tumor
ajekdmnm-1,tumor
ajekenbi-1,tumor
ajeldfbe-1,tumor
ajenkapl-1,tumor
ajfapjok-1,tumor
ajfbhcac-1,tumor
ajfbmghb-1,tumor
ajfcbfli-1,tumor
ajfcmcfb-1,tumor
ajfdhndo-1,tumor
ajfehdjp-1,tumor
ajfienmk-1,tumor
ajfjbknd-1,tumor
ajfmiimg-1,normal
ajgaagna-1,tumor
ajgadjih-1,tumor
ajgefkhh-1,tumor
ajgfeece-1,tumor
ajgikdoi-1,tumor
ajgkfgib-1,tumor
ajgkglma-1,tumor
ajgopbhj-1,tumor
ajgplijp-1,tumor
ajgpnoal-1,tumor
ajhealeg-1,tumor
ajhnlnni-1,tumor
ajhplkei-1,tumor
ajifkkpb-1,tumor
ajihdmdd-1,tumor
ajihpjfg-1,tumor
ajikgjen-1,tumor
ajioedmm-1,tumor
ajioelob-1,tumor
ajjeenca-1,tumor
ajjfncge-1,tumor
ajjfncia-1,tumor
ajjjkmlo-1,tumor
ajjkkpna-1,tumor
ajjkliap-1,tumor
ajjmbodg-1,tumor
ajjmdfdo-1,tumor
ajkbbcbn-1,tumor
ajkejpkb-1,tumor
ajkfcpdc-1,tumor
ajkhllnf-1,tumor
ajkkjfkm-1,normal
ajklkgog-1,normal
ajlabpek-1,tumor
ajlakggk-1,tumor
ajlhnidc-1,normal
ajmbnkkm-1,tumor
ajmccppe-1,normal
ajmdiocb-1,normal
ajmfcoal-1,tumor
ajmnfpbl-1,tumor
ajmofhpa-1,tumor
ajnaljcf-1,tumor
ajndaoei-1,tumor
ajndhdim-1,tumor
ajneejaf-1,tumor
ajngncfn-1,tumor
ajnhalkl-1,tumor
ajnkgecl-1,tumor
ajnojolf-1,tumor
ajnpchpc-1,tumor
ajoabknk-1,tumor
ajoapkdj-1,tumor
ajocfoam-1,tumor
ajogdpgg-1,tumor
ajoghnaj-1,tumor
ajojfccc-1,tumor
ajollapi-1,tumor
ajpfengn-1,tumor
ajpiedpo-1,tumor
ajpjkeon-1,tumor
ajplehbk-1,tumor
ajpneomg-1,tumor
ajppcdfd-1,tumor
akaapihf-1,tumor
akacblpb-1,tumor
akafbgkd-1,tumor
akagfepc-1,tumor
akaiginb-1,tumor
akalcpbc-1,tumor
akamfeja-1,tumor
akaoegle-1,normal
akbaecpk-1,tumor
