,gene_names
1151,TOR3A
1152,ABL2
1153,SOAT1
1154,TDRD5
1155,FAM163A
1156,TOR1AIP2
1157,TOR1AIP1
1158,CEP350
1159,QSOX1
1160,ACBD6
1161,XPR1
1162,KIAA1614
1163,STX6
1164,IER5
1165,CACNA1E
1166,GLUL
1167,RNASEL
1168,RGS16
1169,NPL
1170,DHX9
1171,LAMC1
1172,LAMC2
1173,NMNAT2
1174,SMG7
1175,NCF2
1176,ARPC5
1177,RGL1
1178,COLGALT2
1179,TSEN15
1180,C1orf21
1181,EDEM3
1182,NIBAN1
1183,RNF2
1184,TRMT1L
1185,SWT1
1186,IVNS1ABP
1187,HMCN1
1188,PRG4
1189,TPR
1190,ODR4
1191,PTGS2
1192,PLA2G4A
1193,BRINP3
1194,RGS18
1195,RGS1
1196,RGS13
1197,RGS2
1198,UCHL5
1199,RO60
1200,GLRX2
1201,CDC73
1202,B3GALT2
1203,KCNT2
1204,CFH
1205,ASPM
1206,ZBTB41
1207,DENND1B
1208,C1orf53
1209,NEK7
1210,PTPRC
1211,NR5A2
1212,ZNF281
1213,KIF14
1214,DDX59
1215,CAMSAP2
1216,GPR25
1217,INAVA
1218,KIF21B
1219,ASCL5
1220,TMEM9
1221,IGFN1
1222,PKP1
1223,TNNT2
1224,LAD1
1225,PHLDA3
1226,CSRP1
1227,NAV1
1228,IPO9
1229,SHISA4
1230,LMOD1
1231,TIMM17A
1232,RNPEP
1233,ELF3
1234,GPR37L1
1235,ARL8A
1236,PTPN7
1237,LGR6
1238,UBE2T
1239,PPP1R12B
1240,KDM5B
1241,RABIF
1242,KLHL12
1243,ADIPOR1
1244,CYB5R1
1245,TMEM183A
1246,PPFIA4
1247,ADORA1
1248,CHI3L1
1249,CHIT1
1250,BTG2
1251,FMOD
1252,PRELP
1253,ATP2B4
1254,LAX1
1255,SNRPE
1256,SOX13
1257,ETNK2
1258,REN
1259,KISS1
1260,GOLT1A
1261,PLEKHA6
1262,PPP1R15B
1263,PIK3C2B
1264,MDM4
1265,LRRN2
1266,NFASC
1267,TMEM81
1268,RBBP5
1269,DSTYK
1270,TMCC2
1271,NUAK2
1272,KLHDC8A
1273,LEMD1
1274,BLACAT1
1275,CDK18
1276,MFSD4A
1277,ELK4
1278,SLC45A3
1279,NUCKS1
1280,RAB29
1281,SLC41A1
1282,SLC26A9
1283,RAB7B
1284,CTSE
1285,RHEX
1286,IKBKE
1287,RASSF5
1288,EIF2D
1289,DYRK3
1290,MAPKAPK2
1291,IL10
1292,IL24
1293,FCMR
1294,PIGR
1295,FCAMR
1296,C1orf116
1297,PFKFB2
1298,YOD1
1299,C4BPB
1300,C4BPA
1301,CD55
1302,CR2
1303,CR1
1304,CD46
1305,CD34
1306,PLXNA2
1307,LAMB3
1308,G0S2
1309,HSD11B1
1310,TRAF3IP3
1311,C1orf74
1312,IRF6
1313,UTP25
1314,SERTAD4
1315,HHAT
1316,KCNH1
1317,RCOR3
1318,TRAF5
1319,SLC30A1
1320,NEK2
1321,LPGAT1
1322,INTS7
1323,DTL
1324,PPP2R5A
1325,PACC1
1326,NENF
1327,ATF3
1328,BATF3
1329,NSL1
1330,TATDN3
1331,FLVCR1
1332,VASH2
1333,ANGEL2
1334,PROX1
1335,SMYD2
1336,PTPN14
1337,CENPF
1338,KCTD3
1339,ESRRG
1340,GPATCH2
1341,SPATA17
1342,RRP15
1343,TGFB2
1344,LYPLAL1
1345,SLC30A10
1346,EPRS1
1347,BPNT1
1348,IARS2
1349,RAB3GAP2
1350,MARK1
1351,C1orf115
1352,HLX
1353,DUSP10
1354,TAF1A
1355,MIA3
1356,AIDA
1357,BROX
1358,FAM177B
1359,DISP1
