gene,group
CD1C,CD141+ Myeloid Dendritic Cell
CEACAM3,CD141+ Myeloid Dendritic Cell
CLEC4A,CD141+ Myeloid Dendritic Cell
EHF,CD141+ Myeloid Dendritic Cell,Mature Conventional Dendritic Cell
ENPP1,CD141+ Myeloid Dendritic Cell
FGR,CD141+ Myeloid Dendritic Cell
HCK,CD141+ Myeloid Dendritic Cell
HTR3A,CD141+ Myeloid Dendritic Cell
IDO1,CD141+ Myeloid Dendritic Cell,Mature Conventional Dendritic Cell
NR4A3,CD141+ Myeloid Dendritic Cell,Type I NK T Cell,Non Classical Monocyte,Mature Conventional Dendritic Cell
P2RY2,CD141+ Myeloid Dendritic Cell
PAK1,CD141+ Myeloid Dendritic Cell
PPM1H,CD141+ Myeloid Dendritic Cell,Mast Cell
XCR1,CD141+ Myeloid Dendritic Cell
FGFBP2,Mature NK T Cell
KLRC1,Mature NK T Cell
KLRD1,Mature NK T Cell
KLRF1,Mature NK T Cell
NCAM1,Mature NK T Cell
S1PR5,Mature NK T Cell
SH2D1B,Mature NK T Cell
ADCYAP1,Mast Cell
ADRB2,Mast Cell
AGAP1,Mast Cell
BIRC7,Mast Cell
CALB2,Mast Cell
CMA1,Mast Cell
CTSG,Mast Cell
DNAH10,Mast Cell
DRD2,Mast Cell
EFHC2,Mast Cell
ENPP3,Mast Cell
ERVFRD-1,Mast Cell
FREM1,Mast Cell
GATA1,Mast Cell
GATA2,Mast Cell
GDF15,Mast Cell
HDC,Mast Cell
HPGD,Mast Cell
HPGDS,Mast Cell
HRH4,Mast Cell
IL18R1,Mast Cell
IL1RL1,Mast Cell
KIT,Mast Cell
L1CAM,Mast Cell
LIF,Mast Cell
MAOB,Mast Cell
MEG3,Mast Cell
MEIS2,Mast Cell
MITF,Mast Cell
MLPH,Mast Cell
MRGPRX2,Mast Cell
MS4A2,Mast Cell
NTRK1,Mast Cell
PLIN2,Mast Cell
PTGER3,Mast Cell
PTGS1,Mast Cell
SCIN,Mast Cell
SLC18A2,Mast Cell
SYTL2,Mast Cell
ABCC4,Mature Conventional Dendritic Cell
ACHE,Mature Conventional Dendritic Cell
ADAM12,Mature Conventional Dendritic Cell
ANXA3,Mature Conventional Dendritic Cell
AP3B2,Mature Conventional Dendritic Cell
BCL2A1,Mature Conventional Dendritic Cell
CCNA1,Mature Conventional Dendritic Cell
CD80,Mature Conventional Dendritic Cell
CD83,Mature Conventional Dendritic Cell
CDHR1,Mature Conventional Dendritic Cell
CDKN1A,Mature Conventional Dendritic Cell
CDX2,Mature Conventional Dendritic Cell
CHRNA7,Mature Conventional Dendritic Cell
DNM1,Mature Conventional Dendritic Cell
DSG2,Mature Conventional Dendritic Cell
DUSP5,Mature Conventional Dendritic Cell
EBI3,Mature Conventional Dendritic Cell
EDIL3,Mature Conventional Dendritic Cell
ENOX1,Mature Conventional Dendritic Cell
ETV3,Mature Conventional Dendritic Cell
GADD45A,Mature Conventional Dendritic Cell
GADD45G,Mature Conventional Dendritic Cell
GCGR,Mature Conventional Dendritic Cell
GRIN1,Mature Conventional Dendritic Cell
HAS2,Mature Conventional Dendritic Cell
HELLS,Mature Conventional Dendritic Cell
ICAM4,Mature Conventional Dendritic Cell
ICOSLG,Mature Conventional Dendritic Cell
IGSF3,Mature Conventional Dendritic Cell
IL12B,Mature Conventional Dendritic Cell
IL15,Mature Conventional Dendritic Cell
IL23R,Mature Conventional Dendritic Cell
INSM1,Mature Conventional Dendritic Cell
ITIH1,Mature Conventional Dendritic Cell
KLF5,Mature Conventional Dendritic Cell
LAMB3,Mature Conventional Dendritic Cell
MELTF,Mature Conventional Dendritic Cell
MST1R,Mature Conventional Dendritic Cell
NAV1,Mature Conventional Dendritic Cell
NGFR,Mature Conventional Dendritic Cell
NIBAN1,Mature Conventional Dendritic Cell
NOS1,Mature Conventional Dendritic Cell
NRP2,Mature Conventional Dendritic Cell
NTN1,Mature Conventional Dendritic Cell
PC,Mature Conventional Dendritic Cell
PDLIM4,Mature Conventional Dendritic Cell
PLXNC1,Mature Conventional Dendritic Cell
PNMA2,Mature Conventional Dendritic Cell
PRAME,Mature Conventional Dendritic Cell
PRODH,Mature Conventional Dendritic Cell
PTGIR,Mature Conventional Dendritic Cell
PVR,Mature Conventional Dendritic Cell
RAB9A,Mature Conventional Dendritic Cell
RELN,Mature Conventional Dendritic Cell
ROR2,Mature Conventional Dendritic Cell
SDC4,Mature Conventional Dendritic Cell
SGCA,Mature Conventional Dendritic Cell
SLC1A2,Mature Conventional Dendritic Cell
SLC6A12,Mature Conventional Dendritic Cell
SNX11,Mature Conventional Dendritic Cell
SRCIN1,Mature Conventional Dendritic Cell
SSTR2,Mature Conventional Dendritic Cell
STRIP2,Mature Conventional Dendritic Cell
TFPI2,Mature Conventional Dendritic Cell
TNFRSF11A,Mature Conventional Dendritic Cell
TNFRSF11B,Mature Conventional Dendritic Cell
TNFRSF8,Mature Conventional Dendritic Cell
TNFRSF9,Mature Conventional Dendritic Cell
TNNT2,Mature Conventional Dendritic Cell
TUBB2A,Mature Conventional Dendritic Cell
TUBB2B,Mature Conventional Dendritic Cell
TUBB6,Mature Conventional Dendritic Cell
UPK3A,Mature Conventional Dendritic Cell
WNT5A,Mature Conventional Dendritic Cell
SLC4A1,Erythrocyte
SNCA,Erythrocyte
CXCR1,Neutrophil
MGAM,Neutrophil
RORC,Th17 Cell
GATA3,Th2 Cell
